Date,Open,High,Low,Close,Adj Close,Volume,Days
2019-05-31,75.599998,76.32,75.379997,76.059998,70.630074,7625700,325
2019-06-03,76.120003,76.529999,75.650002,76.220001,70.778656,8122200,326
2019-06-04,76.769997,78.760002,76.660004,78.519997,72.914474,11685000,327
2019-06-05,78.790001,79.970001,78.660004,79.959999,74.251663,7437100,328
2019-06-06,80.029999,81.629997,79.900002,81.400002,75.588852,10457200,329
2019-06-07,81.599998,83.330002,81.510002,82.480003,76.591774,11278800,330
2019-06-10,82.849998,82.860001,81.379997,81.93,76.081024,8102800,331
2019-06-11,82.300003,82.860001,81.849998,82.370003,76.489616,6226400,332
2019-06-12,82.589996,83.669998,82.32,82.93,77.009644,6088800,333
2019-06-13,83.330002,84.050003,83.019997,83.349998,77.399635,7156800,334
2019-06-14,83.540001,84.610001,83.389999,84.239998,78.22612,9226500,335
2019-06-17,84.650002,84.690002,82.889999,83.019997,77.093208,9313700,336
2019-06-18,83.550003,84.110001,82.889999,82.919998,77.000351,10582600,337
2019-06-19,83.080002,83.919998,82.080002,83.809998,77.826813,5401400,338
2019-06-20,84.410004,84.830002,83.830002,84.690002,78.64399,5215800,339
2019-06-21,84.43,84.769997,83.809998,83.82,77.836098,12610000,340
2019-06-24,84.080002,84.559998,83.610001,83.650002,77.678238,6692500,341
2019-06-25,84.199997,85.199997,83.959999,84.25,78.235397,7312300,342
2019-06-26,84.300003,84.300003,83.18,83.379997,77.427513,7576400,343
2019-06-27,83.550003,83.889999,83.209999,83.559998,77.594658,6084200,344
2019-06-28,83.559998,83.959999,83.32,83.830002,77.845398,6735300,345
2019-07-01,84.620003,84.959999,84.029999,84.550003,78.513992,7935100,346
2019-07-02,84.739998,85.589996,84.519997,85.510002,79.405449,6205800,347
2019-07-03,86.040001,87.82,85.980003,87.790001,81.52269,7818600,348
2019-07-05,87.5,87.889999,86.879997,87.790001,81.52269,5733100,349
2019-07-08,87.599998,87.949997,87.18,87.440002,81.197685,6359500,350
2019-07-09,87.290001,87.650002,86.889999,87.230003,81.002663,5355400,351
2019-07-10,87.419998,88.540001,87.419998,88.379997,82.070564,5293000,352
2019-07-11,88.660004,89.290001,88.269997,89.07,82.711311,6191400,353
2019-07-12,89.279999,89.82,88.849998,89.769997,83.361336,5628000,354
2019-07-15,89.870003,90.339996,89.660004,90.160004,83.72348,6061300,355
2019-07-16,90.220001,90.480003,89.589996,90.080002,83.6492,5591900,356
2019-07-17,90.080002,90.379997,89.730003,90.25,83.807076,4635900,357
2019-07-18,90.330002,91.540001,89.949997,91.5,84.967819,6470200,358
2019-07-19,91.410004,91.610001,90.230003,90.300003,83.853493,10804800,359
2019-07-22,90.519997,91.18,90.050003,90.919998,84.429222,5636600,360
2019-07-23,91.25,91.360001,89.169998,90.110001,83.677063,7609200,361
2019-07-24,89.900002,90.75,89.68,90.650002,84.178513,5388100,362
2019-07-25,91.489998,91.550003,90.470001,90.980003,84.484962,8106300,363
2019-07-26,96.400002,99.720001,95.209999,99.110001,92.034554,20846500,364
2019-07-29,98.050003,98.940002,97.209999,98.019997,91.022354,11184500,365
2019-07-30,97.5,98.279999,96.519997,96.650002,89.750168,7248300,366
2019-07-31,96.650002,96.650002,93.5,94.690002,87.930115,9912100,367
2019-08-01,95,97.580002,94.580002,95.379997,88.570831,8342300,368
2019-08-02,95,96.040001,94.800003,95.510002,88.691574,6381700,369
2019-08-05,94.510002,95.519997,93.029999,93.699997,87.010765,8917400,370
2019-08-06,94.309998,95.709999,93.800003,95.339996,88.533684,7438000,371
2019-08-07,94.599998,95.699997,94.169998,95.220001,88.757401,6414000,372
2019-08-08,95.230003,96.410004,94.440002,96.269997,89.73613,7423600,373
2019-08-09,96.150002,96.839996,95.419998,96.300003,89.764099,5209200,374
2019-08-12,95.779999,96.019997,94.300003,94.910004,88.46846,5513800,375
2019-08-13,94.519997,96.669998,94.209999,96.629997,90.071709,8915600,376
2019-08-14,95.910004,97.019997,94.870003,94.919998,88.477768,9989500,377
2019-08-15,95.5,96.269997,94.610001,95.529999,89.046364,5559400,378
2019-08-16,96.290001,96.830002,95.849998,96.519997,89.969154,4852200,379
2019-08-19,97.230003,97.410004,96.220001,96.660004,90.09967,5324900,380
2019-08-20,96.349998,97.120003,95.589996,95.629997,89.13958,6809100,381
2019-08-21,96.269997,96.650002,95.730003,96.32,89.782745,4740500,382
2019-08-22,96.589996,96.849998,95.699997,96.489998,89.9412,5146200,383
2019-08-23,96.410004,97.099998,94.389999,94.699997,88.272697,8076600,384
2019-08-26,95.379997,96.5,95,96.5,89.950531,5802600,385
2019-08-27,96.699997,97.099998,96.029999,96.089996,89.568352,6539800,386
2019-08-28,96.230003,97.209999,96,97.07,90.48185,4948800,387
2019-08-29,97.849998,98.07,97.059998,97.699997,91.069077,4514300,388
2019-08-30,98.139999,98.139999,96.110001,96.559998,90.006432,5209500,389
2019-09-03,96.419998,97.209999,96.050003,96.769997,90.202225,5150700,390
2019-09-04,94.480003,96.330002,93.029999,96.110001,89.586998,12937000,391
2019-09-05,96.540001,96.959999,95.169998,95.559998,89.074333,5514400,392
2019-09-06,95.75,96.339996,95.510002,95.739998,89.242119,3991800,393
2019-09-09,95.800003,95.93,93.739998,94.160004,87.769348,6523300,394
2019-09-10,93.809998,93.879997,89.300003,90.349998,84.217918,12490900,395
2019-09-11,90.18,91.449997,89.610001,90.980003,84.805168,8406600,396
2019-09-12,92.160004,93.32,91.769997,92.059998,85.811874,6862200,397
2019-09-13,92.150002,92.150002,90.32,90.480003,84.339104,6972300,398
2019-09-16,90.019997,90.449997,89.379997,89.419998,83.351051,6339200,399
2019-09-17,89.669998,91.459999,89.650002,90.75,84.590782,6493200,400
2019-09-18,90.980003,91.360001,90.059998,90.959999,84.78653,4510700,401
2019-09-19,90.989998,92.099998,90.300003,91.559998,85.34581,4843600,402
2019-09-20,91.610001,92.080002,90.059998,90.07,83.95694,10913800,403
2019-09-23,90.32,91.160004,89.93,90.809998,84.646713,4532400,404
2019-09-24,91.599998,91.769997,89.510002,89.919998,83.817116,5662600,405
2019-09-25,89.940002,90.610001,89.019997,90.349998,84.217918,4764000,406
2019-09-26,90.839996,91.150002,89.5,89.800003,83.705261,5026400,407
2019-09-27,90.300003,90.300003,87.790001,88.370003,82.372322,5987700,408
2019-09-30,88.410004,88.559998,87.610001,88.419998,82.418907,6588300,409
2019-10-01,88.629997,88.889999,86.449997,86.510002,80.63855,6719400,410
2019-10-02,85.949997,86.010002,84.160004,84.32,78.597176,9858200,411
2019-10-03,84.300003,84.910004,83.610001,84.669998,78.923431,5989000,412
2019-10-04,84.900002,85.970001,84.75,85.919998,80.0886,5869000,413
2019-10-07,85.709999,86.160004,85.489998,85.849998,80.023369,4382900,414
2019-10-08,85.489998,86.330002,84.690002,84.910004,79.147133,6100400,415
2019-10-09,85.370003,86.169998,85.279999,85.849998,80.023369,4427200,416
2019-10-10,85.910004,86.07,85.379997,85.959999,80.125877,3986000,417
2019-10-11,87.019997,87.25,86.260002,86.360001,80.498741,5611000,418
2019-10-14,86.5,87.68,86.400002,86.620003,80.741096,4881000,419
2019-10-15,87,87.25,85.760002,86.449997,80.582619,4695100,420
2019-10-16,86.529999,86.830002,86.050003,86.709999,80.824974,3698700,421
2019-10-17,86.879997,87.019997,86.160004,86.290001,80.433479,4359400,422
2019-10-18,86.349998,86.75,85.519997,86.029999,80.191132,4631200,423
2019-10-21,86,86.239998,85.080002,85.349998,79.557274,4861200,424
2019-10-22,85.230003,85.349998,83.389999,83.459999,77.795563,5767500,425
2019-10-23,84.309998,84.410004,82.129997,82.739998,77.124428,7136200,426
2019-10-24,82.800003,83.529999,82.660004,83.18,77.534561,4591100,427
2019-10-25,83.209999,83.57,82.629997,83.379997,77.72097,5235300,428
2019-10-28,84.470001,84.980003,83.360001,83.599998,77.926048,6653400,429
2019-10-29,83.809998,84.629997,83.639999,84.129997,78.420082,5699100,430
2019-10-30,84.610001,84.699997,83.32,84.190002,78.476006,8731300,431
2019-10-31,86.709999,87.220001,83.279999,84.559998,78.820892,14008800,432
2019-11-01,84.790001,85.309998,82.610001,83.209999,77.562508,10658500,433
2019-11-04,83.300003,83.440002,81.900002,82.370003,76.779533,8271200,434
2019-11-05,82.339996,82.339996,81.029999,81.889999,76.332115,7054400,435
2019-11-06,82.080002,83.370003,82,82.989998,77.357452,6365300,436
2019-11-07,83.059998,83.290001,81.839996,81.949997,76.388039,7221400,437
2019-11-08,82.190002,82.639999,81.449997,81.769997,76.220261,7054800,438
2019-11-11,81.75,82.529999,81.370003,82.43,76.83548,5828200,439
2019-11-12,82.690002,83.980003,82.610001,83.32,78.053291,8551400,440
2019-11-13,83.290001,84.290001,83.199997,83.940002,78.634094,7407900,441
2019-11-14,84.099998,84.519997,83.800003,84.379997,79.04628,5285100,442
2019-11-15,84.68,84.940002,83.57,84.209999,78.887016,7533000,443
2019-11-18,83.919998,84.110001,83.25,84.019997,78.70903,6432200,444
2019-11-19,84.059998,84.279999,83.57,83.660004,78.371803,6008400,445
2019-11-20,83.540001,84.489998,82.980003,83.599998,78.315582,6248700,446
2019-11-21,83.75,84.040001,81.760002,82.300003,77.097778,8300500,447
2019-11-22,82.690002,83.389999,82.660004,83.019997,77.77224,6080400,448
2019-11-25,83.160004,84,82.93,83.75,78.456108,5450400,449
2019-11-26,84.129997,84.650002,84,84.559998,79.214897,7651500,450
2019-11-27,84.849998,85.809998,84.419998,85.769997,80.348412,7502400,451
2019-11-29,85.910004,86.730003,85.25,85.43,80.029907,3857000,452
2019-12-02,85.379997,85.769997,83.82,84.57,79.224266,6425800,453
2019-12-03,84.029999,85,83.82,84.82,79.458481,6049800,454
2019-12-04,85.129997,85.540001,84.699997,85.400002,80.001823,5940300,455
2019-12-05,85.440002,85.480003,84.32,84.449997,79.111847,5170800,456
2019-12-06,85.029999,86.529999,85.029999,86.32,80.863647,8499800,457
2019-12-09,86.309998,86.629997,85.959999,86.279999,80.826195,7164700,458
2019-12-10,86.5,87.470001,85.910004,86.040001,80.601357,7944800,459
2019-12-11,86.260002,86.870003,85.849998,86.589996,81.116577,4921900,460
2019-12-12,88,88.889999,87.540001,88.209999,82.634186,10282100,461
2019-12-13,88.019997,88.790001,87.580002,88.669998,83.065125,6714100,462
2019-12-16,89.139999,89.300003,88.43,88.779999,83.168152,6705600,463
2019-12-17,88.870003,88.970001,87.470001,88.129997,82.559235,7296900,464
2019-12-18,88.389999,88.849998,87.82,87.989998,82.428085,5859200,465
2019-12-19,87.830002,88.589996,87.580002,88.519997,82.924591,6022100,466
2019-12-20,88.790001,89,87.889999,88.459999,82.868385,14271500,467
2019-12-23,88.620003,88.849998,88.18,88.230003,82.652939,4349700,468
2019-12-24,88.199997,88.599998,88,88.519997,82.924591,1847800,469
2019-12-26,88.730003,88.760002,87.790001,88.080002,82.512405,4177700,470
2019-12-27,88.110001,88.459999,87.690002,88.129997,82.559235,4129300,471
2019-12-30,88.010002,88.199997,87.059998,87.440002,81.912872,4655600,472
2019-12-31,87.440002,87.989998,87.309998,87.919998,82.362503,4115600,473
2020-01-02,88.120003,89.349998,88.050003,89.349998,83.70211,6473800,474
2020-01-03,88.660004,89.099998,88.099998,88.830002,83.214989,4874100,475
2020-01-06,88.110001,88.410004,87.470001,88.129997,82.559235,5409800,476
2020-01-07,87.959999,88.029999,87.129997,87.860001,82.30632,6514700,477
2020-01-08,87.940002,89.349998,87.779999,88.879997,83.261818,7296300,478
2020-01-09,90.25,91.160004,90.07,90.529999,84.807541,9443500,479
2020-01-10,90.800003,90.889999,89.629997,90.160004,84.460938,7097900,480
2020-01-13,90.620003,91.720001,90.209999,91.080002,85.322777,7382500,481
2020-01-14,91.190002,91.440002,90.860001,90.989998,85.238449,5855200,482
2020-01-15,91,92.059998,91,91.540001,85.753693,6145300,483
2020-01-16,91.989998,92.610001,91.629997,92.580002,86.727966,5180300,484
2020-01-17,92.93,93.75,92.809998,93.620003,87.702225,6962800,485
2020-01-21,92.830002,93.599998,92.190002,92.529999,86.681107,7094600,486
2020-01-22,93.139999,93.75,92.470001,92.529999,86.681107,6157400,487
2020-01-23,91.919998,93.849998,90.739998,93.75,87.823997,6100600,488
2020-01-24,94,94.129997,91.339996,92.029999,86.21273,7815500,489
2020-01-27,88.629997,89.449997,87.550003,88.730003,83.12133,11066500,490
2020-01-28,89.050003,89.190002,87.720001,88.599998,82.999527,11922400,491
2020-01-29,88.150002,88.440002,85.599998,86.720001,81.238358,17678700,492
2020-01-30,85.449997,86.589996,84.690002,85.839996,80.413994,12224900,493
2020-01-31,85.790001,85.989998,84.519997,84.830002,79.467842,11693900,494
2020-02-03,85.07,86.790001,85.07,86.010002,80.573257,9090600,495
2020-02-04,87.139999,89,86.620003,88.379997,82.793442,9997100,496
2020-02-05,88.879997,89.199997,86.629997,87.559998,82.407562,9982700,497
2020-02-06,87.650002,87.699997,86.150002,86.150002,81.080544,8901400,498
2020-02-07,85.760002,86.620003,85.32,86.419998,81.334648,8073900,499
2020-02-10,86.43,87.620003,86.169998,87.529999,82.379341,7289300,500
2020-02-11,87.860001,88.230003,87.349998,87.510002,82.360504,5098500,501
2020-02-12,87.709999,89.099998,87.389999,88.57,83.358124,7747800,502
2020-02-13,88.5,90.510002,88.260002,89.93,84.638107,8576600,503
2020-02-14,90.18,90.410004,88.989998,89.279999,84.02636,5686900,504
2020-02-18,89.370003,89.470001,88.290001,89.230003,83.979301,5288800,505
2020-02-19,89.489998,90.440002,89.300003,90.139999,84.835747,5210800,506
2020-02-20,89.730003,90.25,87.730003,88.599998,83.386368,5969200,507
2020-02-21,88,88.389999,87,87.360001,82.21933,5800500,508
2020-02-24,84.529999,86.050003,84.260002,84.519997,79.546463,8313600,509
2020-02-25,85.019997,85.349998,81.669998,82.190002,77.353561,9404000,510
2020-02-26,82.599998,83.239998,80.639999,80.669998,75.922989,10541500,511
2020-02-27,78.830002,80.870003,77.360001,78.290001,73.683052,17120800,512
2020-02-28,76.169998,78.809998,75.720001,78.43,73.814796,19108600,513
2020-03-02,77.919998,82.410004,77.660004,82.379997,77.532372,14258700,514
2020-03-03,82.300003,82.620003,78.110001,78.599998,73.974808,12395900,515
2020-03-04,79.290001,80.199997,77.879997,79.669998,74.981842,10999600,516
2020-03-05,77.900002,77.900002,75.279999,76.190002,71.706619,12545300,517
2020-03-06,73.459999,75.709999,72.050003,75.339996,70.906639,18080100,518
2020-03-09,70.580002,74.029999,70.080002,70.830002,66.662033,15930300,519
2020-03-10,72.559998,74.949997,70.029999,74.870003,70.464302,18414000,520
2020-03-11,72.830002,74.269997,67.400002,68.300003,64.280922,17138000,521
2020-03-12,62.950001,66.790001,61.459999,62.099998,58.445744,25170600,522
2020-03-13,65.650002,70.18,63.509998,69.919998,65.805573,19247200,523
2020-03-16,60.630001,63.950001,58.110001,58.59,55.142292,23354300,524
2020-03-17,59.549999,59.619999,53.610001,58.98,55.509338,25045200,525
2020-03-18,55.549999,57.650002,50.02,56.330002,53.015282,28770600,526
2020-03-19,56.23,63.360001,53.549999,61.41,57.796349,25167400,527
2020-03-20,62.299999,65.68,57.91,58.029999,54.61525,28420600,528
2020-03-23,57.23,57.439999,54,56.549999,53.222332,24905800,529
2020-03-24,62.610001,65.160004,61,64.879997,61.062153,28286200,530
2020-03-25,66.830002,69.639999,63.490002,65.809998,61.937428,22977200,531
2020-03-26,66.709999,71.580002,66.25,69.900002,65.786758,20997500,532
2020-03-27,66.68,68.25,64.82,66.339996,62.436241,18950500,533
2020-03-30,66.559998,68.220001,64.580002,67.860001,63.866795,14199700,534
2020-03-31,67.18,68.32,65.309998,65.739998,61.871555,20109800,535
2020-04-01,63,64.760002,61.580002,62.619999,58.935143,12880400,536
2020-04-02,65.75,68.699997,62.91,65,61.175091,18175000,537
2020-04-03,64.470001,64.75,60.900002,63.049999,59.339844,14676500,538
2020-04-06,66.269997,68.339996,64.410004,67.790001,63.800915,18010800,539
2020-04-07,71.57,72.480003,68.330002,68.709999,64.666779,13799400,540
2020-04-08,69.580002,71.919998,68.540001,71.57,67.358498,10417600,541
2020-04-09,71.199997,74.260002,70.139999,73.879997,69.532555,19748100,542
2020-04-13,73.519997,73.599998,70.349998,71.760002,67.537315,11191800,543
2020-04-14,73.690002,74.330002,72.660004,73.669998,69.334908,10912000,544
2020-04-15,72.010002,73.18,70.709999,72.550003,68.280815,10642500,545
2020-04-16,73.110001,73.760002,71.349998,73.510002,69.184334,11946800,546
2020-04-17,76.620003,77.389999,74.970001,77.099998,72.56308,14268400,547
2020-04-20,76.019997,76.980003,75.080002,75.32,70.887825,9684700,548
2020-04-21,73.400002,73.959999,71.739998,72.720001,68.440834,10345800,549
2020-04-22,74.550003,78.059998,74.43,77.449997,72.892471,11347000,550
2020-04-23,77.330002,77.669998,74.260002,75.150002,70.727829,15513400,551
2020-04-24,75.75,76.029999,74.209999,75.580002,71.13253,8456000,552
2020-04-27,76.68,78.040001,76.540001,77.739998,73.165421,8258500,553
2020-04-28,78.669998,79.610001,76.959999,78.690002,74.059532,12801400,554
2020-04-29,78.18,78.75,76.720001,76.860001,72.337204,24575500,555
2020-04-30,76.830002,77.639999,75.190002,76.730003,72.214851,15186000,556
2020-05-01,74.900002,75.879997,73.209999,73.790001,69.447838,11216700,557
2020-05-04,72.580002,72.620003,71.260002,71.889999,67.659653,12921800,558
2020-05-05,74.959999,75.080002,72.889999,72.900002,68.610237,12976000,559
2020-05-06,73.769997,74.849998,72.860001,72.959999,68.666687,12740900,560
2020-05-07,73.809998,76.029999,73.370003,76,71.93203,13360500,561
2020-05-08,77.25,77.93,75.760002,77.870003,73.70195,11917200,562
2020-05-11,76.620003,77.18,75.800003,75.870003,71.808983,9004500,563
2020-05-12,76,76.730003,74.339996,74.349998,70.370346,8549900,564
2020-05-13,74.459999,75.75,72.919998,73.620003,69.67942,11532700,565
2020-05-14,72.32,74.290001,70.650002,74.190002,70.218925,11932300,566
2020-05-15,72.809998,74.639999,72.669998,74.160004,70.190521,9489100,567
2020-05-18,76.860001,77.5,76.199997,76.230003,72.149727,8903200,568
2020-05-19,76.400002,77.220001,75.760002,75.860001,71.79953,6484900,569
2020-05-20,77.230003,77.839996,76.519997,77.760002,73.597832,7790500,570
2020-05-21,78.599998,79.379997,77.889999,78.050003,73.872314,10312600,571
2020-05-22,77.900002,78.050003,76.519997,77.620003,73.465324,7653300,572
2020-05-26,79.599998,79.919998,77.580002,77.760002,73.597832,8422200,573
2020-05-27,78.980003,78.980003,77.389999,78.599998,74.392868,8245300,574
2020-05-28,78.639999,80.059998,77.93,78.540001,74.336082,8331400,575
2020-05-29,78.620003,78.639999,77.260002,77.989998,73.815514,10043600,576
2020-06-01,77.660004,78.650002,76.769997,78.32,74.127853,7922000,577
2020-06-02,77.970001,78.260002,76.790001,77.779999,73.616753,9521000,578
2020-06-03,78.449997,79.949997,78.300003,79.580002,75.320412,9956700,579
2020-06-04,79.309998,80.169998,78.470001,78.739998,74.52536,7667600,580
2020-06-05,80.330002,82.330002,79.970001,82.139999,77.74337,12030800,581
2020-06-08,83.080002,83.620003,82.18,83.559998,79.087379,10229600,582
2020-06-09,82.620003,83.220001,81.760002,82.370003,77.961082,7999800,583
2020-06-10,79.879997,80.029999,78.199997,79.010002,74.780937,19683800,584
2020-06-11,75.75,76.790001,72.150002,72.57,68.685623,26422200,585
2020-06-12,75,76.720001,73.809998,76.379997,72.291702,18529800,586
2020-06-15,74.300003,77.910004,74.080002,76.959999,72.840645,14644700,587
2020-06-16,78.790001,78.940002,76.389999,77.839996,73.673546,10890100,588
2020-06-17,78.07,78.290001,76.68,77.099998,72.973145,6906700,589
2020-06-18,76.720001,76.790001,75.800003,76.309998,72.225441,8486000,590
2020-06-19,77.029999,77.379997,74.879997,75.400002,71.364159,12538600,591
2020-06-22,74.900002,75.650002,73.919998,75.400002,71.364159,8238600,592
2020-06-23,76.330002,76.370003,75.07,75.489998,71.449333,8076600,593
2020-06-24,74.900002,74.919998,72,73.639999,69.698341,12306400,594
2020-06-25,73.220001,74.110001,72.169998,73.849998,69.897118,8624800,595
2020-06-26,73.629997,73.769997,71.25,71.57,67.739143,17627800,596
2020-06-29,71.410004,73.5,71.059998,73.480003,69.546921,8653000,597
2020-06-30,73.580002,73.879997,72.809998,73.589996,69.651016,11324000,598
2020-07-01,74,74.690002,73.379997,74.029999,70.06749,6750000,599
2020-07-02,75.040001,75.089996,73.639999,73.779999,69.830841,6544400,600
2020-07-06,74.93,75.480003,74.160004,75.440002,71.402016,7235300,601
2020-07-07,75.129997,75.230003,74,74.25,70.275703,7515100,602
2020-07-08,74.07,74.5,73.330002,74.139999,70.171585,7346200,603
2020-07-09,73.730003,74.220001,71.93,73.57,69.632088,9618200,604
2020-07-10,73,74.559998,72.739998,74.290001,70.31356,7524200,605
2020-07-13,74.559998,74.839996,72.489998,72.650002,68.761345,9464500,606
2020-07-14,72,72.970001,71.82,72.730003,68.837074,8780900,607
2020-07-15,74.459999,75.809998,73.959999,75.610001,71.562904,10300700,608
2020-07-16,74.900002,75.139999,73.68,74.389999,70.408218,6649300,609
2020-07-17,74.43,74.550003,73.209999,74.160004,70.190521,6087500,610
2020-07-20,74.160004,75.220001,73.629997,74.959999,70.947685,8832700,611
2020-07-21,75.779999,76.800003,75.269997,75.440002,71.402016,10637500,612
2020-07-22,75.519997,77.330002,75.120003,77.239998,73.105652,9213100,613
2020-07-23,76.879997,77.07,74.900002,75.360001,71.326286,7795100,614
2020-07-24,75.279999,76,75.110001,75.779999,71.723793,5673400,615
2020-07-27,75.889999,76.709999,75.540001,76.459999,72.367416,6771100,616
2020-07-28,76.300003,76.389999,74.559998,74.639999,70.644821,12273400,617
2020-07-29,77.559998,78.489998,76.900002,77.419998,73.276031,15261100,618
2020-07-30,76.629997,76.980003,75.400002,76.639999,72.537766,7889800,619
2020-07-31,76.239998,76.540001,75.480003,76.529999,72.433662,7423800,620
2020-08-03,76.480003,76.599998,75.440002,75.5,71.458794,7138300,621
2020-08-04,75.370003,75.489998,74.760002,75.129997,71.108604,12792400,622
2020-08-05,75.349998,75.989998,75.330002,75.779999,71.723793,7780800,623
2020-08-06,75.199997,75.919998,74.940002,75.660004,71.999779,6764800,624
2020-08-07,75.480003,75.93,75.209999,75.790001,72.123474,6569300,625
2020-08-10,75.82,77.669998,75.809998,77.470001,73.722214,6604300,626
2020-08-11,78.269997,79.980003,78,78.870003,75.054497,10238500,627
2020-08-12,79.589996,79.690002,78.669998,79.290001,75.454163,5378000,628
2020-08-13,78.919998,79.639999,78.839996,79.019997,75.19722,4383400,629
2020-08-14,78.540001,78.93,78.019997,78.370003,74.578674,3771300,630
2020-08-17,78.599998,78.959999,78.120003,78.949997,75.130615,5360400,631
2020-08-18,79.150002,79.360001,78.349998,78.989998,75.168663,5272700,632
2020-08-19,79.18,79.389999,77.43,77.629997,73.874458,6840600,633
2020-08-20,77.029999,77.650002,76.459999,77.220001,73.484306,5099500,634
2020-08-21,76.940002,77.269997,76.690002,77.07,73.341583,5594100,635
2020-08-24,77.709999,79.139999,77.25,78.68,74.87368,5867400,636
2020-08-25,80.059998,83.07,79.790001,82.720001,78.718231,17659500,637
2020-08-26,82.419998,82.75,81.879997,82.410004,78.423225,7934300,638
2020-08-27,82.75,83.639999,82.5,83.410004,79.374855,9099200,639
2020-08-28,83.790001,85.290001,83.43,85,80.887924,9303900,640
2020-08-31,84.629997,85.360001,84.029999,84.470001,80.383568,6401600,641
2020-09-01,84.699997,86.089996,84.230003,86.050003,81.887146,8166100,642
2020-09-02,86.510002,88.75,86.290001,88.349998,84.075867,11378900,643
2020-09-03,88.599998,88.980003,85.690002,86.480003,82.296341,11036600,644
